date,region,resource_type,usage_cpu,usage_storage,users_active,economic_index,cloud_market_demand,holiday,day_of_week,month,year,quarter,is_weekend,usage_cpu_lag_1,usage_cpu_lag_3,usage_cpu_lag_7,usage_cpu_rolling_mean_7d,usage_cpu_rolling_max_7d,usage_cpu_rolling_min_7d,usage_cpu_rolling_mean_30d,usage_cpu_rolling_max_30d,usage_cpu_rolling_min_30d,usage_storage_rolling_mean_7d,usage_storage_rolling_max_7d,usage_storage_rolling_min_7d,usage_storage_rolling_mean_30d,usage_storage_rolling_max_30d,usage_storage_rolling_min_30d,cpu_allocation,storage_allocation,utilization_ratio,storage_efficiency,weather,outages,price_changes
2023-01-10,East US,Container,86,779,380,90.92,0.86,0,1,1,2023,1,0,55.0,97.0,61.0,80.42857142857143,97.0,55.0,80.7,98.0,55.0,1002.8571428571428,1915.0,598.0,1193.8,1995.0,501.0,100,2000,0.86,0.3895,14.463458031767932,1,-1.7199906771801827
2023-01-11,East US,VM,97,1562,369,114.66,0.98,0,2,1,2023,1,0,86.0,77.0,81.0,82.71428571428571,97.0,55.0,81.0,98.0,55.0,1009.7142857142856,1915.0,598.0,1180.5666666666666,1995.0,501.0,100,2000,0.97,0.781,25.48581076662569,0,-1.6627408842325055
2023-01-11,East US,Storage,75,1420,212,114.66,0.98,0,2,1,2023,1,0,97.0,55.0,85.0,81.28571428571429,97.0,55.0,80.43333333333334,98.0,55.0,1118.2857142857142,1915.0,598.0,1174.7333333333331,1995.0,501.0,100,2000,0.75,0.71,13.744501064093722,0,0.4271154308495175
2023-01-11,East US,Container,56,535,372,114.66,0.98,0,2,1,2023,1,0,75.0,86.0,82.0,77.57142857142857,97.0,55.0,79.96666666666667,98.0,55.0,1066.571428571429,1915.0,535.0,1171.8666666666666,1995.0,501.0,100,2000,0.56,0.2675,25.34538002709091,0,-0.5523222501955094
2023-01-12,East US,VM,92,943,300,100.68,0.86,0,3,1,2023,1,0,56.0,97.0,97.0,76.85714285714286,97.0,55.0,79.83333333333333,98.0,55.0,927.7142857142856,1562.0,535.0,1154.7333333333331,1995.0,501.0,100,2000,0.92,0.4715,17.317965990383783,1,-0.2618557128455142
2023-01-12,East US,Storage,82,763,252,100.68,0.86,0,3,1,2023,1,0,92.0,75.0,77.0,77.57142857142857,97.0,55.0,79.46666666666667,98.0,55.0,942.8571428571428,1562.0,535.0,1121.2666666666669,1995.0,501.0,100,2000,0.82,0.3815,12.404678868372914,1,-2.106063248309726
2023-01-12,East US,Container,93,504,302,100.68,0.86,0,3,1,2023,1,0,82.0,56.0,55.0,83.0,97.0,56.0,79.7,98.0,55.0,929.4285714285714,1562.0,504.0,1099.8666666666666,1995.0,501.0,100,2000,0.93,0.252,25.988197211697845,1,0.7437441301539676
2023-01-13,East US,VM,50,1795,388,94.56,1.01,0,4,1,2023,1,0,93.0,92.0,86.0,77.85714285714286,97.0,50.0,78.26666666666667,98.0,50.0,1074.571428571429,1795.0,504.0,1137.6666666666667,1995.0,501.0,100,2000,0.5,0.8975,12.257865082312664,1,0.466965983540283
2023-01-13,East US,Storage,88,1203,268,94.56,1.01,0,4,1,2023,1,0,50.0,82.0,97.0,76.57142857142857,93.0,50.0,78.36666666666666,98.0,50.0,1023.2857142857144,1795.0,504.0,1152.1333333333334,1995.0,501.0,100,2000,0.88,0.6015,25.90346224854538,1,-0.5536809091129462
2023-01-13,East US,Container,71,1360,446,94.56,1.01,0,4,1,2023,1,0,88.0,93.0,75.0,76.0,93.0,50.0,78.83333333333333,98.0,50.0,1014.7142857142856,1795.0,504.0,1131.3,1995.0,501.0,100,2000,0.71,0.68,28.447098895654086,1,-0.6010523718175891
2023-01-14,East US,VM,80,1261,346,88.49,1.04,1,5,1,2023,1,1,71.0,50.0,56.0,79.42857142857143,93.0,50.0,78.46666666666667,98.0,50.0,1118.428571428571,1795.0,504.0,1149.0,1995.0,501.0,100,2000,0.8,0.6305,29.427048130535617,0,-0.396861436049058
2023-01-14,East US,Storage,81,1268,203,88.49,1.04,1,5,1,2023,1,1,80.0,88.0,92.0,77.85714285714286,93.0,50.0,78.6,98.0,50.0,1164.857142857143,1795.0,504.0,1170.1333333333334,1995.0,501.0,100,2000,0.81,0.634,13.856631934942506,0,-0.2003137471427653
2023-01-14,East US,Container,65,1291,446,88.49,1.04,1,5,1,2023,1,1,81.0,71.0,82.0,75.42857142857143,93.0,50.0,78.86666666666666,98.0,50.0,1240.2857142857142,1795.0,504.0,1170.5333333333333,1995.0,501.0,100,2000,0.65,0.6455,27.49514054903268,1,-0.880937418100212
2023-01-15,East US,VM,66,589,463,93.99,0.97,1,6,1,2023,1,1,65.0,80.0,93.0,71.57142857142857,88.0,50.0,78.36666666666666,98.0,50.0,1252.428571428571,1795.0,589.0,1157.3666666666666,1995.0,501.0,100,2000,0.66,0.2945,26.46799784689408,0,0.8485529959974333
2023-01-15,East US,Storage,78,1469,289,93.99,0.97,1,6,1,2023,1,1,66.0,81.0,50.0,75.57142857142857,88.0,65.0,77.83333333333333,98.0,50.0,1205.857142857143,1469.0,589.0,1149.8666666666666,1995.0,501.0,100,2000,0.78,0.7345,22.04826355505585,0,-0.3185306708774806
2023-01-15,East US,Container,83,614,304,93.99,0.97,1,6,1,2023,1,1,78.0,65.0,88.0,74.85714285714286,83.0,65.0,77.76666666666667,98.0,50.0,1121.7142857142858,1469.0,589.0,1136.2,1995.0,501.0,100,2000,0.83,0.307,25.29843660352896,1,-1.581412281778772
2023-01-16,East US,VM,84,1372,485,93.98,1.19,0,0,1,2023,1,0,83.0,66.0,71.0,76.71428571428571,84.0,65.0,77.7,98.0,50.0,1123.428571428571,1469.0,589.0,1123.6666666666667,1995.0,501.0,100,2000,0.84,0.686,14.390232520749064,1,1.2863246665657952
2023-01-16,East US,Storage,66,561,283,93.98,1.19,0,0,1,2023,1,0,84.0,78.0,80.0,74.71428571428571,84.0,65.0,76.8,98.0,50.0,1023.4285714285714,1469.0,561.0,1103.6,1995.0,501.0,100,2000,0.66,0.2805,26.68511204697754,1,-1.2478173961804655
2023-01-16,East US,Container,97,1228,386,93.98,1.19,0,0,1,2023,1,0,66.0,83.0,81.0,77.0,97.0,65.0,77.33333333333333,98.0,50.0,1017.7142857142856,1469.0,561.0,1078.0333333333333,1915.0,501.0,100,2000,0.97,0.614,20.7098083949807,1,1.3159026249678356
2023-01-17,East US,VM,54,1686,414,99.87,0.89,0,1,1,2023,1,0,97.0,84.0,65.0,75.42857142857143,97.0,54.0,76.93333333333334,98.0,50.0,1074.142857142857,1686.0,561.0,1092.0333333333333,1915.0,501.0,100,2000,0.54,0.843,14.07779756217634,1,0.1619370212489967
2023-01-17,East US,Storage,78,734,345,99.87,0.89,0,1,1,2023,1,0,54.0,66.0,66.0,77.14285714285714,97.0,54.0,77.1,98.0,50.0,1094.857142857143,1686.0,561.0,1070.4,1915.0,501.0,100,2000,0.78,0.367,17.40345985700117,1,-0.1288506528267414
2023-01-17,East US,Container,96,1087,208,99.87,0.89,0,1,1,2023,1,0,78.0,97.0,78.0,79.71428571428571,97.0,54.0,78.46666666666667,98.0,50.0,1040.2857142857142,1686.0,561.0,1057.2666666666669,1915.0,501.0,100,2000,0.96,0.5435,10.641878153606656,1,-2.074321043463365
2023-01-18,East US,VM,88,590,401,108.23,0.88,0,2,1,2023,1,0,96.0,54.0,83.0,80.42857142857143,97.0,54.0,78.13333333333334,97.0,50.0,1036.857142857143,1686.0,561.0,1060.2333333333331,1915.0,504.0,100,2000,0.88,0.295,16.289815232749483,0,0.0559618641898825
2023-01-18,East US,Storage,75,538,325,108.23,0.88,0,2,1,2023,1,0,88.0,78.0,84.0,79.14285714285714,97.0,54.0,78.6,97.0,50.0,917.7142857142856,1686.0,538.0,1046.4333333333334,1915.0,504.0,100,2000,0.75,0.269,29.187563340294776,1,-0.4854097365797863
2023-01-18,East US,Container,52,672,340,108.23,0.88,0,2,1,2023,1,0,75.0,96.0,66.0,77.14285714285714,97.0,52.0,77.63333333333334,97.0,50.0,933.5714285714286,1686.0,538.0,1018.3666666666668,1915.0,504.0,100,2000,0.52,0.336,12.117853149120169,0,0.6137868575584963
2023-01-19,East US,VM,69,1964,246,102.09,0.8,0,3,1,2023,1,0,52.0,88.0,97.0,73.14285714285714,96.0,52.0,77.1,97.0,50.0,1038.7142857142858,1964.0,538.0,1061.8333333333333,1964.0,504.0,100,2000,0.69,0.982,15.21781414917333,0,-1.78455170709882
2023-01-19,East US,Storage,90,1828,213,102.09,0.8,0,3,1,2023,1,0,69.0,75.0,54.0,78.28571428571429,96.0,52.0,77.36666666666666,97.0,50.0,1059.0,1964.0,538.0,1092.8666666666666,1964.0,504.0,100,2000,0.9,0.914,25.19544796294302,1,0.7239466168105964
2023-01-19,East US,Container,64,1938,200,102.09,0.8,0,3,1,2023,1,0,90.0,52.0,78.0,76.28571428571429,96.0,52.0,76.26666666666667,97.0,50.0,1231.0,1964.0,538.0,1093.6333333333334,1964.0,504.0,100,2000,0.64,0.969,12.436146015107994,1,0.6030935203391595
2023-01-20,East US,VM,78,1408,245,86.72,1.02,0,4,1,2023,1,0,64.0,69.0,96.0,73.71428571428571,90.0,52.0,76.3,97.0,50.0,1276.857142857143,1964.0,538.0,1118.6666666666667,1964.0,504.0,100,2000,0.78,0.704,22.10729517078908,0,-0.3296537151516957
2023-01-20,East US,Storage,84,1776,281,86.72,1.02,0,4,1,2023,1,0,78.0,90.0,88.0,73.14285714285714,90.0,52.0,77.26666666666667,97.0,50.0,1446.2857142857142,1964.0,538.0,1157.9333333333334,1964.0,504.0,100,2000,0.84,0.888,18.727495726131476,1,-0.8534576025511441
2023-01-20,East US,Container,54,949,209,86.72,1.02,0,4,1,2023,1,0,84.0,64.0,75.0,70.14285714285714,90.0,52.0,76.2,97.0,50.0,1505.0,1964.0,672.0,1163.6,1964.0,504.0,100,2000,0.54,0.4745,25.838628804326067,0,0.3001225527354141
2023-01-21,East US,VM,87,1270,222,107.38,1.02,1,5,1,2023,1,1,54.0,78.0,52.0,75.14285714285714,90.0,54.0,75.86666666666666,97.0,50.0,1590.428571428571,1964.0,949.0,1153.8666666666666,1964.0,504.0,100,2000,0.87,0.635,11.953199866144448,0,-1.3497984088709116
2023-01-21,East US,Storage,86,1176,401,107.38,1.02,1,5,1,2023,1,1,87.0,84.0,69.0,77.57142857142857,90.0,54.0,76.23333333333333,97.0,50.0,1477.857142857143,1938.0,949.0,1145.7333333333331,1964.0,504.0,100,2000,0.86,0.588,22.2997021305295,0,-0.490353197157737
2023-01-21,East US,Container,59,582,344,107.38,1.02,1,5,1,2023,1,1,86.0,54.0,90.0,73.14285714285714,87.0,54.0,76.33333333333333,97.0,50.0,1299.857142857143,1938.0,582.0,1147.3,1964.0,504.0,100,2000,0.59,0.291,26.181022765612692,1,1.1912272243273228
2023-01-22,East US,VM,66,1123,454,98.84,0.97,1,6,1,2023,1,1,59.0,87.0,64.0,73.42857142857143,87.0,54.0,75.46666666666667,97.0,50.0,1183.428571428571,1776.0,582.0,1153.3,1964.0,504.0,100,2000,0.66,0.5615,19.6608453168011,0,0.1995487554503614
